Comments,Profine_words,No_words_per_comment,No_filtered_words,Is_profine,Avg_profine_per_comment,Avg_profine_per_filter_comment,No_profane_words
"Now hes also dead which is a big whammy
Me I didnt expect that coming",,14,8,0,0,0.0,0
Who knew that Link could do such a great impression of Chris Tarrant,,13,7,0,0,0.0,0
Terry didnt actually do anything His wife sat next to someone who actually studied it So dont give terry the credit,,21,10,0,0,0.0,0
I couldnt focus most of the video because I thought you were going to knock the cup over with your elbow ,,22,10,0,0,0.0,0
I LOVE this Purple mattress ad Hysterical,,7,6,0,0,0.0,0
so that was just one cheater then,,7,1,0,0,0.0,0
I thought that the intro was new Then i looked at when this was published,,15,6,0,0,0.0,0
"Yalls ripoff
Good Legendary Morning",,4,4,0,0,0.0,0
The best GMM videos have that nostalgic intro,,8,6,0,0,0.0,0
so just 1 of these was about a cheater,,9,2,0,0,0.0,0
"I bet the second guy didnt even call the police when he got robbed because it would sound ridiculous
Help somebody just stole 140k dollars from me all in 1s Help",,30,15,0,0,0.0,0
A True Fact of Reality The House Always Wins Epic Question What If You Were The House,,17,16,0,0,0.0,0
"The first person wasnt amazing
The next two people didnt cheat",,10,6,0,0,0.0,0
we gotta STAAAAHHHP him,,4,2,0,0,0.0,0
Why didnt the majors wife just play instead She knew all the answers,,13,8,0,0,0.0,0
There is a documentary on just watched on prime about the price is right perfect bid I think is called the perfect bid,,23,11,0,0,0.0,0
HAPPY 3 YEAR ANNIVERSARY,,4,4,0,0,0.0,0
You guys are too funny,,5,3,0,0,0.0,0
the press your luck dude wasnt a cheater he just learned that the board wasnt random and figured out what comes before the 5000spin,,24,9,0,0,0.0,0
Michael Larson didnt cheat thats called skill,,7,6,0,0,0.0,0
old intro best intro,,4,3,0,0,0.0,0
ANNNNND STAAAAAP 5000  free spin *waves hands back and forth* ,,12,10,0,0,0.0,0
Michael beat the system That is in no way cheating,beat,10,5,1,0.1,0.2,1
My favorite intro graphic of any season,,7,5,0,0,0.0,0
The guy playing whammy  Will not be called a cheater  Hes just smart as hell,,17,12,0,0,0.0,0
The cheaters on this video*STOP,,5,3,0,0,0.0,0
lighting in this video is awesome,,6,3,0,0,0.0,0
The second but didnt really cheat,,6,4,0,0,0.0,0
Amazing Game Show Cheaters  starring 1 cheater and two noncheaters,,11,9,0,0,0.0,0
Awh I feel so bad that the second guys money was stolen ,,13,9,0,0,0.0,0
that second guy wasnt a cheater its the shows fault for doing the same algorithms every time,,17,6,0,0,0.0,0
Thank you for sharing the spayneuter message You may have been joking but it really is very important,,18,6,0,0,0.0,0
COUGHYou are the most amazing contestant everCOUGH,,7,4,0,0,0.0,0
"Me *justs watch a guy who cheated in the millionaire game show*
Me *sees this video and clicks on it*
*shows the first video*
Me *BRUH*",,23,14,0,0,0.0,0
so only 1 person in this video actually cheated,,9,4,0,0,0.0,0
I knew the Googol thing and I am not lucky because I didnt answer that,,15,9,0,0,0.0,0
CORRECTION I have information that counters your explanation about how the guy won the the price is right with the exact price  There was a guy named Theodore that had done all of the studying for years and he had actually already won the price is right  As a regular audience member that day he was sitting out in the crown near the wife of the man who got the exact price  Since the audience gets to participate and suggests prices the wife listened to Theodore and yelled out the prices he suggested  And if you think that is a coincidence Theodore had helped another guy win a few years earlier  The winner CLAIMS that his studying had won him the contest but that day He was using Theodores advice See this link  httpswwwhoustonchroniclecomentertainmentarticleHowoneSanAntoniomansobsessionwithThe12986262php,"day, day",140,66,1,0.014285714285714285,0.030303030303030304,2
oh my gosh I laughed so loud when yall were making fun of the Press Your Luck Guy STAHP lol Im in the floor,,24,15,0,0,0.0,0
The price is right one is real Im just assuming before I watch,,13,7,0,0,0.0,0
I always thought Ohio ice cream truck drivers looked a little shady,,12,9,0,0,0.0,0
At least half of the comments just say STOOAHHHOOP,,9,4,0,0,0.0,0
Sir youre not going to be getting your 1mOK thanks for letting me know,,14,4,0,0,0.0,0
The player beats the system he did nothing wrong,,9,5,0,0,0.0,0
the game shows that i watch are The Price Is Right and Jeopardy ,,14,8,0,0,0.0,0
Okay so one cheater and two very smart guys then,,10,4,0,0,0.0,0
"Holly crap
The last guy got to change his pin number now",pin,11,6,1,0.09090909090909091,0.16666666666666666,1
Gr8 ways to win lmao,,5,4,0,0,0.0,0
Sooooo an AMAZING CHEATERS episode only showcases one real cheater the others just did the game show smartley NOT breaking any rules,,22,12,0,0,0.0,0
The Price is Right guy is a total phony He got the answer from Theodore Slauson from the audience he was the Price is Right GOD Watch his documentary on Hulu very awesome,,33,18,0,0,0.0,0
Michael Larson was actually not a cheater He studied the Press Your Luck boards patterns and learned them so hed know which pattern to press the button to earn him the X000 plus one spin square He outsmarted them,,39,20,0,0,0.0,0
miss this intro i always sing to it,,8,2,0,0,0.0,0
PIN number The N in PIN stands for number,,9,7,0,0,0.0,0
Was Drew Carey on The Price is Right before or after Whose Line,,13,8,0,0,0.0,0
I HAVE WRESTLED A CHEETAH TO THE GROUND  sole its mojo cheat,,13,12,0,0,0.0,0
Technically the first guy didnt cheat just had some unknown extra lifelines,,12,7,0,0,0.0,0
410 And it was at that moment Charles knew he had Screwed up Oh good Lord No ,,18,11,0,0,0.0,0
A more accurate title would have been Amazing people who figured out game show patterns  At least then the video would show 23 people that did what the title says rather than 13,,34,15,0,0,0.0,0
Amazing Game Show Cheaters He wasnt cheating He studied the patterns ok,,12,9,0,0,0.0,0
Who came to the comments right away,,7,2,0,0,0.0,0
If you got the tick toc asmd wtf eas she drinking,,11,7,0,0,0.0,0
Wait I dont win But I have a great new channel to entertain me now Woooooooo Thnx guys awesome job,,20,14,0,0,0.0,0
The second guy wasnt cheating the machine was just flawed and he took the work and time to examine it,,20,9,0,0,0.0,0
Test your luck is about reflexes Any1 who plays csgo you should know whats up,,15,6,0,0,0.0,0
buuurrrrpesscuuuusehhhmeeee,,1,1,0,0,0.0,0
this just in on press your luck each winner is being paid 17 because some dude gamed the system,,19,8,0,0,0.0,0
Figuring out the pattern is definitely not cheating,,8,4,0,0,0.0,0
We gotta STAAHHPP him  cough cough NO meh I hate my job he won right on the nose meh,,20,14,0,0,0.0,0
I remember watching that Press Your Luck episode with my siblings and cousins when we were on school break It took us about three minutes to figure out that there was a pattern and couldnt believe that they didnt stop the show Classic,,43,18,0,0,0.0,0
But you only mentioned one cheater The other two were just clever,,12,5,0,0,0.0,0
Season 5 6 and 7 are the most popular,,9,5,0,0,0.0,0
BTW this is a PG thing to never Google  Fractals,,11,6,0,0,0.0,0
STOP Your click bait,,4,4,0,0,0.0,0
Rhett Link is in the description Link No Im not,,10,6,0,0,0.0,0
The price is right one is wrong Theres a documentary on Hulu about it,,14,6,0,0,0.0,0
"That first one obviously hid cheating shouldnt be condoned but to not only cancel his win but also give him a substantial fine I disapprove
He had won the first 7 questions fairly so rectify the 8th question to a loss and THEN fine him for the con or just disqualify it and stop there",,54,22,0,0,0.0,0
What do you think was ging on there That is the original footage of the already solved cases Channel Content 0,ging,21,10,1,0.047619047619047616,0.1,1
Thanks for the spay and neuter shout out ,,9,5,0,0,0.0,0
All of the contestants that you mentioned are not cheaterstheyre just studying on how to winor probably skillsexcept for the first one,,22,7,0,0,0.0,0
The intro is the best one they have made,,9,3,0,0,0.0,0
"* eats nougat *
STOP
* licks popsicle *
STOP
* bites kit kat *
STAAAAAAAAAHHHHHHHHHPPPPPPPPPP
ok now thats reasonable",,14,12,0,0,0.0,0
Wow COUGH COUGH COUGH oh sorry I am CHeATIng,,9,6,0,0,0.0,0
13 minute video for 2 instances of cheating Good examples but dang,,12,9,0,0,0.0,0
The Price is Right guy is a dirty liar Ted Slauson told him the answers so that he would win and Terry lied and said that it was himself that knew Watch Perfect Bid The Contestant Who Knew Too Much,,40,23,0,0,0.0,0
After winning the 110000 Foster Brooks became a hopeless drunk,,10,7,0,0,0.0,0
click bait brah the last two wasnt even  cheating,,10,5,0,0,0.0,0
Im early let me say a joke Donald Trump,,9,5,0,0,0.0,0
Cant believe you didnt say strategery  115,,8,5,0,0,0.0,0
"I beat u at your own game Sue me 
I coughed during your taping Sue me",beat,16,8,1,0.0625,0.125,1
St Olaf I LOVE your choir Dr Armstrong is the best,,11,8,0,0,0.0,0
Wait a minute The dude with glasses sounds like the voice of the host in Radical Heights ,,18,11,0,0,0.0,0
634 look at how much he won compared to the other contestants lmao,,13,5,0,0,0.0,0
Who are these two buttplugs ,,6,3,0,0,0.0,0
I love the Price Is Right,,6,5,0,0,0.0,0
"BIG BBUCKS
STAAAAAAPH
WHAMMY
*has* *a* *full* *out* *tantrum*
Thats how you play press your luck ",,13,10,0,0,0.0,0
"Hi  My name is Julie 
Have you ever thought of doing your show outside   I really like watching your YouTube videos",,24,12,0,0,0.0,0
So basically one guy cheated the others just gamed the game,,11,6,0,0,0.0,0
BOGUS misleading video Talk about cheating,,6,5,0,0,0.0,0
The guy in the example of Press Your Luck is Ed Long,,12,8,0,0,0.0,0
1984 Don Larson Won 110000 dollars I saw that episode,,10,8,0,0,0.0,0
Lets talk about that,,4,2,0,0,0.0,0
Hi Im early this comment will be lost in the sea of comments ,,14,9,0,0,0.0,0
Every time I watch you guys you have a new intro,,11,6,0,0,0.0,0
why did you do a cheaters montage when at least half didnt cheat but beat the games intelligently and honestly deserve all the positive credit they can get but you lable them cheaters in the title,beat,36,15,1,0.027777777777777776,0.06666666666666667,1
Tht game show dude tho Bye byeand at the bottom how can a game show make lives better NVM Im slow,,21,13,0,0,0.0,0
why is this video called Amazing Game Show Cheaters when only 1 of the 3 people you talk about is cheating,,21,11,0,0,0.0,0
Im still scarred from the 11 minutes of silence _,,10,6,0,0,0.0,0
Michael the  ppl  from Press Your Luck ReSTOLE their money back Ok Ok Im going to STOP,,19,14,0,0,0.0,0
Do to go all the way this guy speaks like Garth of Waynes World,,14,6,0,0,0.0,0
Link is too funny 650 ,,6,4,0,0,0.0,0
Its not PIN number  PIN stands for Personal Identification Number so if you say PIN number you are basically referring to Personal Identification Number number which is incorrect,,29,18,0,0,0.0,0
Woof,,1,1,0,0,0.0,0
STOPPPPPP,,1,1,0,0,0.0,0
The second guy did not cheat he found out the pattern,,11,5,0,0,0.0,0
loli want moremore morethis stuff is funny and EDUCATIONAL,loli,9,6,1,0.1111111111111111,0.16666666666666666,1
LES GOOO MINNESOTANS,,3,3,0,0,0.0,0
Woah Retts forehead is bigger than JacksFilms 3,,8,6,0,0,0.0,0
Guy on TPIR didnt cheat Your supposed to come close as you can,,13,7,0,0,0.0,0
If these people followed me they wouldnt need to cheat I am the embodiment of God My power serves you I am your idol Pray to me and watch your luck change for the better,,35,16,0,0,0.0,0
To cheaters  You are the most amazing contestant we ever ever had  Chris Tarrent 2001,,17,10,0,0,0.0,0
"Aka 1 person caught cheating on an episode and never aired followed by 2 people who through study circumvented the system ultimately labeled as NOT cheaters all this information stretched into a 1255 min video 
good job guys",min,38,23,1,0.02631578947368421,0.043478260869565216,1
if u cheat and get caught youre a fraud If you cheat and get away youre a legend,,18,6,0,0,0.0,0
Michael Larson just couldnt STAHP,,5,3,0,0,0.0,0
Now on the price is right they ask why they picked certain numbers like 23928,,15,5,0,0,0.0,0
Its the 20th anniversary of Who wants to be a millionaire and right before they started the host said no coughing  Im gone,,24,10,0,0,0.0,0
You guys are a great team thank you so much for the entertainment youre brilliant,,15,6,0,0,0.0,0
Anybody else find it ironic that there was a GMM wheel winner on the episode that dealt with game show cheaters XD,,22,11,0,0,0.0,0
1 cheater and two card counters Great show however Ill subscribe LOL,,12,8,0,0,0.0,0
So 23 didnt cheat they just had skills ,,9,6,0,0,0.0,0
Not really about cheating necessarily More about having a rain man mentally and loving patterns,,15,8,0,0,0.0,0
I looked away when Rhett yelled STOP And I was scared so bad p,,14,9,0,0,0.0,0
So this video was about 1 cheater and 2 players who studied the systems,,14,8,0,0,0.0,0
That ice cream truck driver is a legend Hes very smart,,11,8,0,0,0.0,0
STAAAAAHP *catches burglars stealing money*,,5,5,0,0,0.0,0
*STAAP*,,1,1,0,0,0.0,0
Michael Larson didnt cheat He just figured out the pattern,,10,7,0,0,0.0,0
"He won a Careyokey machine
So basic only one cheat",,9,6,0,0,0.0,0
Cheating is too juvenile a term lets call it what it is *Fraud*,,13,5,0,0,0.0,0
"
I cough all the time tho",,6,4,0,0,0.0,0
*Stop*  A While A Go *STOOOOOP* Another While Ago *STTTOOOOOOOOOOOOOOOOP* The Game Over *Cough*,,15,15,0,0,0.0,0
the real question is do u record in the morning,,10,4,0,0,0.0,0
How is this greatest game show cheaters 23 werent cheating,,10,6,0,0,0.0,0
This video doesnt deserve dislikes  Change my mind,,9,8,0,0,0.0,0
Saying the guy on the Price is Right or even the guy on Press Your Luck cheated is like saying studying for a test is cheating,test,26,12,1,0.038461538461538464,0.08333333333333333,1
You should invite some metal vocalists to the show such as Corey Taylor Jonathan Davis Babymetal etc,,17,9,0,0,0.0,0
Dead and broke DOUBLE WHAMMY ,,6,5,0,0,0.0,0
The 2nd one isnt really cheating hes actually really smart,,10,5,0,0,0.0,0
cheaters,,1,1,0,0,0.0,0
Rewatching my first gmm video,,5,3,0,0,0.0,0
ITS YELLOW INSTEAD OF ORANGE,,5,5,0,0,0.0,0
The whammy one wasnt cheating it was just figuring out the pattern,,12,5,0,0,0.0,0
You showed 1 person cheating The others were just being smart,,11,6,0,0,0.0,0
Terry himself didnt learn the patterns a dude in the audience did and he was telling him the answers You can learn the whole story from a documentary that came out recently Its even crazier than this,,37,14,0,0,0.0,0
100k I would have faked a heart attack,,8,5,0,0,0.0,0
immediately kid notion maximum painful salmon portrait bias cite necessary,,10,8,0,0,0.0,0
So close to the diamond youtube plaque thats 10mil subs right The diamond,,13,9,0,0,0.0,0
So everyone thinks terry kniess was so smart He revealed his PIN number on live tv,,16,11,0,0,0.0,0
wtf you name the video game show cheaters but 2 out of the 3 clips werent even cheating,,18,8,0,0,0.0,0
Drew Carey was and is terrible as Price host Bob Barker wouldve sold that win to hell and back and sorted out the question of its legitimacy later,,28,14,0,0,0.0,0
1030 dont forget to get your pets spayed or neutered,,10,6,0,0,0.0,0
"roses are red
my name is dave
this makes no sence
microwave",,9,4,0,0,0.0,0
YouTube says the nearest show of their tour is Atlantic City NJ  Oh okay thats cool Im in Portland OR let me just hop on the bus real quick head on over,bus,33,17,1,0.030303030303030304,0.058823529411764705,1
the guy said for toby not tommy,,7,3,0,0,0.0,0
That guy who played the whammy game was smart not a cheat Perfect,,13,8,0,0,0.0,0
Duuuude I just realized the brunette guy would play an awesome Garth,,12,8,0,0,0.0,0
Here the video one actual cheater and 2 guys with a lot of time on their hands,,17,9,0,0,0.0,0
When yall coming back to the frickn creek,,8,5,0,0,0.0,0
These are just the ones who got caught,,8,2,0,0,0.0,0
Link could totally be Garth on Waynes World,,8,5,0,0,0.0,0
Lets make a deal has been on air longer since the 60s Wayne Brady took over for Monty Hall as Drew took over for Bob,,25,11,0,0,0.0,0
I dont think the Whammy guy was cheating  Its gaining knowledge about the game,,15,10,0,0,0.0,0
Cashtop  I thought it was jackpot,,7,5,0,0,0.0,0
When you cough MrBeast will knock on your door and gives you a million dollars,,15,7,0,0,0.0,0
720 thats amazing,,3,2,0,0,0.0,0
on that first guy the last question was hella easy,,10,4,0,0,0.0,0
OMG  ITS BEEN ALONG TIME SINCE I WATCHED GMM,,10,10,0,0,0.0,0
the guy on the intro was not a cheater there is a documentary on this on amazon movies call the perfect bid,,22,9,0,0,0.0,0
Wow lol we have suspicionsblah blah in posh British accentthat you were cheating lol,,14,9,0,0,0.0,0
Nothing good comes out of Ohio,,6,3,0,0,0.0,0
im pretty sue this is my like 30 40th  time watching this episode but its just so gucci,,19,9,0,0,0.0,0
The second one I dont count as cheating I count that as being smart I applaud that guy,,18,12,0,0,0.0,0
Your intro is so cool ,,6,4,0,0,0.0,0
First time watching and I subbed I winnnnnnn,,8,7,0,0,0.0,0
Wow These people are smart for figuring out the pattern,,10,6,0,0,0.0,0
Welp Sinners are Winners,,4,3,0,0,0.0,0
I bet THIS comment will NEVER be noticed,,8,7,0,0,0.0,0
Is it just me or is Rhett dead on the inside,,11,4,0,0,0.0,0
The wheel on the Price Is Right is totally rigged  They can extend the spin or slow it down gradually to get a desired result  Scam,,28,17,0,0,0.0,0
Terry didnt study the prices He got the answer from another contestant who did Theres a whole movie about it  Terry isnt a cheater  but hes a liar,,30,15,0,0,0.0,0
volume matching its a good thing ,,7,5,0,0,0.0,0
STOP,,1,1,0,0,0.0,0
I always tell myself Im going to figure out a pattern like this and win millions So far nothing,,19,8,0,0,0.0,0
Who else replayed when link was like STAAP STAAP,,9,5,0,0,0.0,0
This is 1255 minutes om never getting backbut im still liking,,11,6,0,0,0.0,0
Links shirt is so damn Asymmetrical Im done,damn,8,5,1,0.125,0.2,1
STOP,,1,1,0,0,0.0,0
The  whammy guy its not cheating its  studying patterns,,11,8,0,0,0.0,0
Its 2018 omg this video is so old iM gEtTiNg FeElS,,11,7,0,0,0.0,0
Hey LISTEN,,2,2,0,0,0.0,0
"Hi Rhett and Link
Watched you today for the 1st time
I am very impressed by the way you banter with each other and especially how laidback you appear
Also you both have soothing voices not irritating like so many other video speakers
Best of luck",,42,16,0,0,0.0,0
I never knew that guy on the Whammy show did that after the show Wow,,15,5,0,0,0.0,0
theres now a documentary on The Price is Right thing Terry didnt even have anything to do with it was the guy sitting in the crowd,,26,10,0,0,0.0,0
At least its kinda helps to confirm the shows are legit,,11,5,0,0,0.0,0
Knil dna ttehr Do you understand,,6,5,0,0,0.0,0
STAAAAP,,1,1,0,0,0.0,0
026 Link goes total GARTH mode,,6,5,0,0,0.0,0
Why does the guy on the right look like a mix between josh peck and Jon lustreluxs boyfriend ,peck,19,9,1,0.05263157894736842,0.1111111111111111,1
251 need ascreen,,3,2,0,0,0.0,0
So apparently link has had his hair up for two years now geez time flies by,,16,7,0,0,0.0,0
So Rhett never told us Did that STOP guy win the radio contest with all those 1 bills,,18,11,0,0,0.0,0
Ive seen the video and explanation and before and after and when its right one of his friends coughed,,19,5,0,0,0.0,0
Remembering a pattern in a flawed game show is intelligent,,10,5,0,0,0.0,0
STOP,,1,1,0,0,0.0,0
I watched the first vid before I watched this video hahaha,,11,7,0,0,0.0,0
Michael Larson was a legend,,5,3,0,0,0.0,0
I love waking up to an episode of this And youve been doing it for years Win,,17,8,0,0,0.0,0
Ice cream man deserves it,,5,4,0,0,0.0,0
Have your pets spayed or neutered Wellplayed Bad title for the video though since only one cheated,,17,9,0,0,0.0,0
Ive guessed within 1 of the showcase prize,,8,5,0,0,0.0,0
My mom was on praise is right,,7,3,0,0,0.0,0
what microphone are you guys using,,6,2,0,0,0.0,0
am i the only person who feels bad for the ice cream man,,13,6,0,0,0.0,0
Looks like only one guy cheated cant fault a guy for studyn up ,,14,8,0,0,0.0,0
Starting at 140 ,,4,3,0,0,0.0,0
I pray to God that Link never got a call from Peter Tamarken RIP,,14,8,0,0,0.0,0
you just cheated me of 12 minutes of my life  thanks,,12,5,0,0,0.0,0
How would they not find the guy that managed to steal over 110000 in 1 bills,,16,8,0,0,0.0,0
The STOP guy wasnt cheating,,5,4,0,0,0.0,0
the wammy guy figured out a system it would be one thing if he was using a computer its not cheating,,21,7,0,0,0.0,0
Haha put your PIN number in whenever possible lmao,,9,4,0,0,0.0,0
only the first guy cheated,,5,2,0,0,0.0,0
"what say when come home STOP
I dies ",,8,3,0,0,0.0,0
concept comparison vegetable chapter Hispanic skirt once okay,,8,6,0,0,0.0,0
The first one his reaction was priceless,,7,3,0,0,0.0,0
The first one his reaction was priceless,,7,3,0,0,0.0,0
The first one his reaction was priceless,,7,3,0,0,0.0,0
117 days until Episode 1000 of GMM IM EXCITED,,9,7,0,0,0.0,0
The title is total clickbait,,5,4,0,0,0.0,0
This is the first vid Ive watched from you guys and your hilarious 1 subscriber,,15,8,0,0,0.0,0
Sounds like you should have called it Amazing Game Show NOT Cheaters,,12,7,0,0,0.0,0
I had an ad about someone CHEATING on his gf,,10,4,0,0,0.0,0
Tecwen sounds like a cool name for a code reader,,10,5,0,0,0.0,0
I dunno Im thinking that you guys need to investigate this Ashenen the t shirt winner I think some shenanigans are going on with your little wheel Luck I think not,,31,15,0,0,0.0,0
The guy who figured out the patterns was definitely not cheating,,11,6,0,0,0.0,0
Video Staaaooppp,,2,2,0,0,0.0,0
704 I pulled a muscle and it hurts to laugh but man that was so funny,,16,8,0,0,0.0,0
both so handsome and sexy hands Im subscribing now,,9,5,0,0,0.0,0
You said it never aired Well well well I specifically remember watching it on the TV as it was shown,,20,9,0,0,0.0,0
So 2 x of the 3 x werent cheating Why not just make this a 5 min vid with the only 1 x cheater you could actually find,min,28,11,1,0.03571428571428571,0.09090909090909091,1
Sobasically 2 out of 3 of these people never cheated,,10,5,0,0,0.0,0
I just watched 15 minutes of two guys breathing,,9,6,0,0,0.0,0
I could only breathe out of 1 nose  You only have one,,13,6,0,0,0.0,0
I think Rhett was high,,5,3,0,0,0.0,0
"You can get high from too much Oxygen
*I think Rhett got high*",,12,5,0,0,0.0,0
The ultimate vegan snack,,4,4,0,0,0.0,0
wouldnt it be scented not flavored,,6,2,0,0,0.0,0
"1114
link phurflusfee rhett flur link wow",,6,6,0,0,0.0,0
"321 
Rhett and Link PINE
Rhett and Link look at each other in shock
Chase Blackberry
Rhett and Link Awwhhhh",,17,9,0,0,0.0,0
Oxygenated oxygen They were high before they started,,8,5,0,0,0.0,0
"1052 
WHEN I WOKE UP THIS MORNING I COULD ONLY BREATHE OUT OF ONE NOSE Link high on oxygen",,19,18,0,0,0.0,0
And they did get that surgery together,,7,2,0,0,0.0,0
Shortterm exposure to increased levels of oxygen doesnt really affect the average human however in someone who has just depleted their oxygen like someone who just ran a mile or two the ability to replenish energy and restore muscle fiber will be increased However prolonged exposure to heightened amounts of oxygen at normal pressure can lead to pulmonary lung collapse significant damage to the alveoli also in the lungs and can cause retinal damage So you might not want to do this all the time and Im concerned that you feel like you can see better,,96,43,0,0,0.0,0
Rhett and link PINE  look at each other in amazement  Chas BlackBerry Rhett and link our dreams ARE CRUSHED,,21,13,0,0,0.0,0
watching this in 2018 they foreshadowed their brosectomy,,8,4,0,0,0.0,0
227 holy shit they actually went through with it ,shit,10,4,1,0.1,0.25,1
When I was going to be put on anesthesia for a procedure on my teeth I was only 7 I was really scared of how the gas was going to smell and my mom told me it could be flavored They didnt flavor it,,44,19,0,0,0.0,0
Its ok link i only breathe out of one nose too,,11,4,0,0,0.0,0
Any survivors still watching in January20182019,,6,4,0,0,0.0,0
Is Rhett getting high off of this oxygen or something He seems more and more out of it as the video goes on,,23,6,0,0,0.0,0
I wanna see like 15 mins of Rhett and link high the video just called like trying medical marijuana ,,20,12,0,0,0.0,0
"Momwhat did you do today 
Meoh you know I just watched two guys breathing",,14,7,0,0,0.0,0
As soon as Rhett said I feel good I was thinking he got high ,,15,9,0,0,0.0,0
228 Foreshadowing,,2,2,0,0,0.0,0
100 of people who breathe oxygen die at some point in their life coincidence,,14,8,0,0,0.0,0
NAME,,1,1,0,0,0.0,0
Im starting to feel G O O D,,8,7,0,0,0.0,0
